;;dans quel type d'activité je m'engage;à quel niveau je m'engage;Pourquoi je m'engage ;Pourquoi je m'engage ;Pourquoi je m'engage ;Pourquoi je m'engage ;Comment je préfère m'engager ;Comment je préfère m'engager ;Comment je préfère m'engager ;Comment je préfère m'engager 
;;QUOI ?;Où ?;POURQUOI ?;POURQUOI ?;POURQUOI ?;POURQUOI ?;COMMENT ? ;COMMENT ? ;COMMENT ? ;COMMENT ? 
;;… sous la forme de …;J'explore le niveau …;Je veux développer …;Je veux développer …;Je veux développer …;Je veux développer …;Ce que j'ai plaisir à faire, c'est …;Ce que j'ai plaisir à faire, c'est …;Ce que j'ai plaisir à faire, c'est …;Ce que j'ai plaisir à faire, c'est …
Mouse-over;;;;Savoir-être, développement personnel, outils du citoyen responsable, défense des valeurs, éthique;Savoir-faire, compétences techniques de management et d'entrepreneuriat, relations économiques, réseau business, apprentissage par essai-erreur;Diplomatie internationale, interculturalité, communauté internationale unie, franchir les frontières, construction de projets inter-organisations;Service aux territoires et aux communautés, benchmark des actions, réflexion pour construire un monde meilleur;se former, monter en compétence et grandir;expérimenter l'exercice du pouvoir prendre la responsabilité, transmettre, diriger, coacher;célébrer les temps forts, fêter les réussites , marquer les jalons, réserver du temps pour prendre plaisir collectivement;faire de nouveaux contacts, élargir son réseau de pairs, échanger des cartes de visite, se réunir autour d'une table
Nom long;;;;Développement individuel;Entreprise et compétences professionnelles ;Coopération internationale;Service à la communauté;Apprendre;Prendre des responsabilités;Célébrer;Se rencontrer
Nom court;Opportunités;Forme;NIVEAU;Individu;Entreprise;International;Communauté;Apprendre;Prendre des responsabilités;Célébrer;Se rencontrer
;Prendre des responsabilités en bureau local;Equipe;L;40.0;20.0;10.0;30.0;30.0;50.0;10.0;10.0
;Prendre des responsabilités en bureau régional;Equipe;R;50.0;20.0;0.0;30.0;20.0;60.0;10.0;10.0
;Devenir ambassadeur régional - sur dossier;Equipe;R;50.0;0.0;0.0;50.0;0.0;70.0;10.0;20.0
;Parrainer / marraine un membre;Equipe;L;100.0;0.0;0.0;0.0;0.0;80.0;0.0;20.0
;Devenir alumni;Equipe;N;80.0;10.0;0.0;10.0;0.0;0.0;30.0;70.0
;Participer aux conventions de l'ONU avec JCI;Evenement;M;0.0;10.0;50.0;40.0;30.0;30.0;10.0;30.0
;Participer au congrès mondial JCI;Evenement;M;30.0;20.0;40.0;10.0;20.0;0.0;40.0;40.0
;Participer à l'European capitals meeting;Evenement;Z;30.0;10.0;40.0;20.0;20.0;0.0;40.0;40.0
;Participer à une conférence de zone JCI;Evenement;Z;30.0;20.0;40.0;10.0;30.0;0.0;30.0;40.0
;"Participer à une ""JCI conférence"" (baltic, balkans, etc)";Evenement;Z;30.0;40.0;20.0;10.0;30.0;0.0;20.0;50.0
;Faire participer ses enfants au JCI kids camp;Evenement;Z;80.0;0.0;20.0;0.0;40.0;0.0;20.0;40.0
;Participer à un journée de formation régionale;Evenement;R;100.0;0.0;0.0;0.0;60.0;0.0;10.0;30.0
;Participer à un congrès régional;Evenement;R;100.0;0.0;0.0;0.0;30.0;0.0;40.0;30.0
;Participer à là JCI European academy;Evenement;Z;100.0;0.0;0.0;0.0;70.0;0.0;0.0;30.0
;Participer à la francoformation;Evenement;M;80.0;0.0;20.0;0.0;40.0;0.0;20.0;40.0
;Participer au JCI Europe Know-How Transfer;Evenement;Z;70.0;10.0;10.0;10.0;60.0;0.0;0.0;40.0
;Participer à la peace makers academy - JCI France;Evenement;M;40.0;0.0;30.0;30.0;60.0;0.0;0.0;40.0
;Participer à la JCI European Debate academy - Scotland;Evenement;Z;100.0;0.0;0.0;0.0;60.0;0.0;0.0;40.0
;Participer à la globals goals academy - JCI Geneve;Evenement;M;40.0;20.0;20.0;20.0;50.0;0.0;10.0;40.0
;Participer à la strategy academy - JCI Finland;Evenement;Z;40.0;30.0;20.0;10.0;50.0;0.0;10.0;40.0
;Participer à la mediterranean academy – JCI Catalunya;Evenement;Z;50.0;10.0;20.0;20.0;40.0;0.0;20.0;40.0
;Participer à un congrès national;Evenement;N;100.0;0.0;0.0;0.0;30.0;0.0;40.0;30.0
;Participer à une convention nationale;Evenement;N;100.0;0.0;0.0;0.0;30.0;0.0;40.0;30.0
;Participer à l'European presidents meeting;Evenement;Z;50.0;0.0;40.0;10.0;40.0;0.0;10.0;50.0
;Participer à un évènement convivial international (JCI golf, ski, waltz, crayfish conférence...);Evenement;Z;50.0;20.0;30.0;0.0;0.0;0.0;40.0;60.0
;Animer des ateliers offre engage;Formation et Atelier;L;20.0;60.0;0.0;20.0;0.0;60.0;0.0;40.0
;Devenir formateur JCI en participant au trainers forum -international;Formation et Atelier;Z;90.0;0.0;10.0;0.0;70.0;0.0;0.0;30.0
;Devenir formateur JCI en participant au trainers forum -national;Formation et Atelier;N;90.0;0.0;10.0;0.0;70.0;0.0;0.0;30.0
;Suivre les formations JCI (discover, adventure, engage, rse, communication);Formation et Atelier;M;100.0;0.0;0.0;0.0;80.0;0.0;0.0;20.0
